Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,29286000,29766000,29597000,30030000
Liabilities,,,,
Total Liabilities,22576000,22825000,22805000,23245000
Stockholders' Equity,,,,
Common Stock,6569000,7055000,7044000,7232000
Retained Earnings,-211000,-382000,-499000,-701000
Accumulated other comprehensive income,46000,-4000,17000,32000
Total stockholders' equity,6404000,6669000,6562000,6563000
Total liabilities and stockholders' equity,29286000,29766000,29597000,30030000
