Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-437.983,-437.983,-1611,-1515,-20.387
Acquisitions net,-,-,-,4.261,-
Purchases of investments,-,-,-,-,-212.476
Other investing activites,-,-,-,20,100
Net cash used for investing activites,-437.983,-437.983,-1611,-1490,-132.863
Debt repayment,-,-,-18.9,-,-104.834
Common stock issued,1025,1025,1512,2982,3277
Net cash used privided by (used for) financing activities,1315,1315,1493,2982,3172
Net change in cash,-45.71,-45.71,-1005,63.531,-504.589
Cash at beginning of period,95.485,95.485,1101,1037,1542
Cash at end of period,49.775,49.775,95.485,1101,1037
Capital Expenditure,-437.983,-437.983,-1611,-1515,-20.387
Free Cash Flow,-1361,-1361,-2499,-2943,-3564
