Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1326000,1836000,1575000,1007000
Depreciation & amortization,-,298000,344000,518000
Change in working capital,-,-3673000,1542000,1448000
Inventory,-,-1104000,468000,39000
Other working capital,-,-3520000,2956000,269000
Other non-cash items,-,-102000,658000,19000
Net cash provided by operating activites,-,-1655000,3180000,2902000
Investments in property plant and equipment,-,-1865000,-224000,-2633000
Acquisitions net,-,-46000,-,-
Purchases of investments,-,-1043000,-9000,-8000
Sales/Maturities of investments,-,24000,159000,247000
Other investing activites,-,-3000,7000,410000
Net cash used for investing activites,-,-2605000,519000,-1962000
Net change in cash,-,-5111000,2662000,-492000
Cash at beginning of period,-,13010000,10348000,10840000
Cash at end of period,-,7898000,13010000,10348000
Operating Cash Flow,-,-1655000,3180000,2902000
Capital Expenditure,-,-1865000,-224000,-2633000
Free Cash Flow,-,-3520000,2956000,269000
