Breakdown,ttm,12/31/2019
Total Revenue,0,0
Selling General and Administrative,620.871,620.871
Total Operating Expenses,820.871,820.871
Operating Income or Loss,-820.871,-820.871
Income Before Tax,6887,6887
Income Tax Expense,1442,1442
Income from Continuing Operations,5445,5445
Net Income,5445,5445
Net Income available to common shareholders,5445,5445
