Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1033,-842.747,-1202,-2820,-1293
Net cash used for investing activites,-1033,-842.747,-1202,-2820,-1293
Common stock issued,1961,2185,2531,1255,4606
Common stock repurchased,-,-178.935,-72.731,-30,-124.691
Net cash used privided by (used for) financing activities,1753,2006,2458,1225,4481
Net change in cash,-107.451,25.346,429.993,-2617,2694
Cash at beginning of period,1525,731.988,306.545,2923,228.305
Cash at end of period,1417,658.111,731.987,306.545,2923
Capital Expenditure,-1033,-842.747,-1202,-2820,-1293
Free Cash Flow,-1861,-1981,-2028,-3841,-1787
