Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net Income,1243000,1020000,212000,822000
Depreciation & amortization,-,217000,226000,249000
Stock based compensation,-,72000,-,-
Change in working capital,-,-432000,3424000,4765000
Inventory,-,-1310000,-291000,486000
Other working capital,-,423000,2993000,6482000
Other non-cash items,-,-168000,-604000,394000
Net cash provided by operating activites,-,588000,3074000,6675000
Investments in property plant and equipment,-,-165000,-81000,-193000
Acquisitions net,-,-3000,-,-
Purchases of investments,-,-1107000,-13467000,-3152000
Sales/Maturities of investments,-,1512000,6080000,3740000
Other investing activites,-,118000,52000,-164000
Net cash used for investing activites,-,543000,-7236000,198000
Net change in cash,-,-476000,-5449000,5807000
Cash at beginning of period,-,13893000,19343000,13535000
Cash at end of period,-,13416000,13893000,19343000
Operating Cash Flow,-,588000,3074000,6675000
Capital Expenditure,-,-165000,-81000,-193000
Free Cash Flow,-,423000,2993000,6482000
