Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,8830501,8494625,8311744,7970474
Liabilities,,,,
Total Liabilities,8011483,7740671,7525800,7201993
Stockholders' Equity,,,,
Common Stock,83266,83656,131961,131485
Retained Earnings,127469,87821,49526,47929
Accumulated other comprehensive income,7575,-17719,-8658,-12548
Total stockholders' equity,819018,753954,780758,764320
Total liabilities and stockholders' equity,8830501,8494625,8311744,7970474
