Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,9211000,10234000,10820000,8295000
Depreciation & amortization,5825000,5537000,5405000,5257000
Change in working capital,667000,-5977000,-3900000,-2025000
Inventory,-835000,-1411000,-1737000,-853000
Other working capital,7719000,2801000,6943000,1475000
Other non-cash items,-73000,939000,623000,839000
Net cash provided by operating activites,15034000,9464000,12059000,11439000
Investments in property plant and equipment,-7315000,-6663000,-5116000,-9964000
Purchases of investments,-1605000,-2144000,-4092000,-2100000
Sales/Maturities of investments,2720000,3400000,1374000,2901000
Other investing activites,-114000,-65000,-147000,-51000
Net cash used for investing activites,-5873000,-5436000,-7665000,-9153000
Net change in cash,4773000,10000,660000,-2085000
Cash at beginning of period,30091000,26122000,25461000,27547000
Cash at end of period,35066000,26133000,26122000,25461000
Operating Cash Flow,15034000,9464000,12059000,11439000
Capital Expenditure,-7315000,-6663000,-5116000,-9964000
Free Cash Flow,7719000,2801000,6943000,1475000
