Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,378173,578886,267143,-441443
Depreciation & amortization,-,363503,242828,134399
Change in working capital,-,-227098,829455,-1283380
Inventory,-,-43680,11441,-20605
Other working capital,-,910750,719432,-2314600
Other non-cash items,-,266675,726605,-531432
Net cash provided by operating activites,-,972821,2066377,-2259613
Investments in property plant and equipment,-,-62071,-1346945,-54987
Acquisitions net,-,-395920,-,-
Purchases of investments,-,-20000,-126227,-66404
Sales/Maturities of investments,-,-,197966,70661
Other investing activites,-,-,-50000,199998
Net cash used for investing activites,-,-554951,-1300772,157402
Net change in cash,-,440657,1743858,-2289159
Cash at beginning of period,-,4559845,2815986,5105145
Cash at end of period,-,5349369,4559845,2815986
Operating Cash Flow,-,972821,2066377,-2259613
Capital Expenditure,-,-62071,-1346945,-54987
Free Cash Flow,-,910750,719432,-2314600
