Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-17978,-20571,-10053
Acquisitions net,-,-,-1000
Other investing activites,-,2943,-3000
Net cash used for investing activites,-14974,-17556,-13892
Debt repayment,-213,-200,-
Common stock issued,-,-,21105
Common stock repurchased,-291,-764,-1157
Other financing activites,-,-,10
Net cash used privided by (used for) financing activities,10862,15737,20656
Net change in cash,-,-4723,4735
Cash at beginning of period,11,4735,-
Cash at end of period,-,12,4735
Capital Expenditure,-17978,-20571,-10053
Free Cash Flow,-13865,-23475,-12082
