Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,212581,212581,188770,153017,156313
Interest Expense,53370,53370,34644,22288,18468
Income Before Tax,66548,66548,62442,20482,15766
Income Tax Expense,12666,12666,10837,5813,2916
Income from Continuing Operations,53882,53882,51605,14669,12850
Net Income,53882,53882,51605,14669,12850
Net Income available to common shareholders,53882,53882,48653,9831,8136
Basic EPS,-,-,2.21,0.47,0.37
Diluted EPS,-,-,2.20,0.47,0.37
Basic Average Shares,-,-,21996,22025,22025
Diluted Average Shares,-,-,22194,22025,22025
