Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,18410274,15497993,12965910,10769032
Liabilities,,,,
Total Liabilities,15762619,13292025,11075456,9186401
Stockholders' Equity,,,,
Common Stock,1682,1650,1605,1581
Retained Earnings,1953364,1523879,1232865,955173
Total stockholders' equity,2639067,2202906,1861199,1554367
Total liabilities and stockholders' equity,18410274,15497993,12965910,10769032
