Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-28.959,-,-
Net cash used for investing activites,8.41,8.41,-28.959,-,-
Common stock issued,1490,1490,-,2210,-
Common stock repurchased,-,-,-,-125.1,-
Net cash used privided by (used for) financing activities,1490,1490,-,2085,-
Net change in cash,356.785,356.785,-1982,482.666,-2984
Cash at beginning of period,2195,2195,4175,3693,6674
Cash at end of period,2552,2552,2195,4175,3693
Capital Expenditure,-,-,-28.959,-,-
Free Cash Flow,-1142,-1142,-1982,-1602,-2984
