Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,40709,40709,38072,36157,34915
Interest Expense,5616,5616,3581,2255,2061
Income Before Tax,12478,12478,8259,12052,10544
Income Tax Expense,1830,1830,1187,3603,2033
Income from Continuing Operations,10648,10648,7072,8449,8511
Net Income,10648,10648,7072,8449,8511
Net Income available to common shareholders,10648,10648,7072,8449,8511
Basic EPS,-,-,1.58,1.89,1.91
Diluted EPS,-,-,1.58,1.89,1.91
Basic Average Shares,-,-,4476,4470,4456
Diluted Average Shares,-,-,4476,4470,4456
