Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,308051,281941,305306,229922
Liabilities,,,,
Total Liabilities,20607,26696,25716,8192
Stockholders' Equity,,,,
Common Stock,4144,4144,4144,4144
Total stockholders' equity,287444,255245,279590,221730
Total liabilities and stockholders' equity,308051,281941,305306,229922
