Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-10476,-6738,-2947,-1835,-143.025
Sales/Maturities of investments,-,-,-,122.286,-
Other investing activites,-,484.796,-,-,-
Net cash used for investing activites,-10758,-6251,-2947,-1713,-111.444
Debt repayment,-,-,-,-,-169.657
Common stock issued,10555,18462,7555,7040,1872
Net cash used privided by (used for) financing activities,10555,18462,7555,7040,1757
Net change in cash,-4968,8707,1570,2657,612.791
Cash at beginning of period,7993,4860,3307,650.26,53.472
Cash at end of period,3025,13660,4860,3307,666.263
Capital Expenditure,-10476,-6738,-2947,-1835,-143.025
Free Cash Flow,-15241,-10242,-5986,-4505,-1176
