Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,573352,514189,377118
Liabilities,,,
Total Liabilities,219520,224259,145069
Stockholders' Equity,,,
Common Stock,473516,372850,328352
Retained Earnings,-119684,-10163,-25671
Total stockholders' equity,353832,289930,232048
Total liabilities and stockholders' equity,573352,514189,377118
