Breakdown,6/30/2019,6/30/2018
Total Assets,381649,268211
Liabilities,,
Total Liabilities,151179,91465
Stockholders' Equity,,
Common Stock,2398,1844
Retained Earnings,11212,620
Total stockholders' equity,230470,176746
Total liabilities and stockholders' equity,381649,268211
