Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2333000,2473000,3259000,1903000
Depreciation & amortization,822000,685000,909000,874000
Change in working capital,-17074000,-4731000,-4886000,807000
Inventory,-8359000,-2987000,-4468000,-1476000
Other working capital,-14625000,-1603000,-1048000,2185000
Other non-cash items,480000,258000,75000,-301000
Net cash provided by operating activites,-14138000,-1198000,-459000,2571000
Investments in property plant and equipment,-487000,-405000,-589000,-386000
Acquisitions net,-,-,-28000,-471000
Purchases of investments,-42000,-122000,-50000,-371000
Sales/Maturities of investments,332000,380000,976000,20000
Other investing activites,9000,-13000,-192000,-5000
Net cash used for investing activites,-180000,-152000,214000,-1209000
Net change in cash,2893000,-2008000,1497000,-545000
Cash at beginning of period,5973000,9245000,7748000,8366000
Cash at end of period,8930000,7608000,9245000,7748000
Operating Cash Flow,-14138000,-1198000,-459000,2571000
Capital Expenditure,-487000,-405000,-589000,-386000
Free Cash Flow,-14625000,-1603000,-1048000,2185000
