Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2309557,2138954,1525857,1377263
Liabilities,,,,
Total Liabilities,1979431,1840056,1341396,1239647
Stockholders' Equity,,,,
Common Stock,276422,276265,171168,137925
Retained Earnings,67974,41320,31652,19263
Accumulated other comprehensive income,6874,-1452,-1124,-2337
Total stockholders' equity,330126,298898,184461,137616
Total liabilities and stockholders' equity,2309557,2138954,1525857,1377263
