Breakdown,10/31/2018,10/31/2017,10/31/2016
Total Assets,671896,477111,338817
Liabilities,,,
Total Liabilities,62494,44408,22841
Stockholders' Equity,,,
Common Stock,65467,44899,32262
Total stockholders' equity,609402,432703,315976
Total liabilities and stockholders' equity,671896,477111,338817
