Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,21886040,20682152,20036905,18944247
Liabilities,,,,
Total Liabilities,19543864,18434579,17807048,16823132
Stockholders' Equity,,,,
Common Stock,556110,554377,552232,549707
Retained Earnings,1079391,946032,821619,732099
Accumulated other comprehensive income,-137,-59063,-32974,-38449
Total stockholders' equity,2342176,2247573,2229857,2121115
Total liabilities and stockholders' equity,21886040,20682152,20036905,18944247
