Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,271325000,272734000,301319000,300857000
Selling General and Administrative,134284000,133012000,133895000,135120000
Total Operating Expenses,194242000,187271000,199768000,206996000
Interest Expense,18300000,18880000,12390000,10956000
Income Before Tax,70352000,79314000,97302000,156525000
Income Tax Expense,21513000,24847000,30335000,29089000
Income from Continuing Operations,48839000,54467000,66967000,127436000
Net Income,48635000,54285000,66413000,126656000
Net Income available to common shareholders,48635000,54285000,66413000,126656000
Basic EPS,-,43.46,52.36,98.08
Diluted EPS,-,43.44,52.32,98.01
Basic Average Shares,-,1248936,1268360,1204576
Diluted Average Shares,-,1249655,1269362,1292276
