Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2147650,2034076,4315926,2366808
Depreciation & amortization,-,1975851,2186202,2827005
Change in working capital,-,-822748,-459509,444577
Inventory,-,-14155,92910,642071
Other working capital,-,2242632,4625775,-2055368
Other non-cash items,-,7780,312191,534416
Net cash provided by operating activites,-,2692413,5764669,-1394396
Investments in property plant and equipment,-,-449781,-1138894,-660972
Purchases of investments,-,-220897,-,-317730
Sales/Maturities of investments,-,123252,-,102800
Other investing activites,-,159122,-410046,28349
Net cash used for investing activites,-,-365271,453108,-800678
Net change in cash,-,1563952,-742607,2446732
Cash at beginning of period,-,7303680,8046287,5456802
Cash at end of period,-,8867632,7303680,7903534
Operating Cash Flow,-,2692413,5764669,-1394396
Capital Expenditure,-,-449781,-1138894,-660972
Free Cash Flow,-,2242632,4625775,-2055368
