Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2249377,1521580,1802419,1528126
Depreciation & amortization,-,869421,760355,758656
Change in working capital,-,1029062,-6952816,3938672
Inventory,-,-191481,-92595,373836
Other working capital,-,2888279,-5708129,5613383
Other non-cash items,-,181121,-379316,-9011
Net cash provided by operating activites,-,3635526,-4711332,6622742
Investments in property plant and equipment,-,-747247,-996797,-1009359
Purchases of investments,-,-154388,-,-
Sales/Maturities of investments,-,278916,-,-
Other investing activites,-,2964,-149040,-5328
Net cash used for investing activites,-,-617188,-950787,-994638
Net change in cash,-,2296451,-7744747,4752771
Cash at beginning of period,-,6172091,13916838,9164066
Cash at end of period,-,8468543,6172091,13916838
Operating Cash Flow,-,3635526,-4711332,6622742
Capital Expenditure,-,-747247,-996797,-1009359
Free Cash Flow,-,2888279,-5708129,5613383
