Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,7796000,7918000,3844000,2653000
Depreciation & amortization,-,787000,686000,724000
Change in working capital,-,-1933000,-8538000,284000
Inventory,-,404000,-315000,-1289000
Other working capital,-,5942000,-3630000,3447000
Other non-cash items,-,1118000,598000,578000
Net cash provided by operating activites,-,7170000,-3049000,4248000
Investments in property plant and equipment,-,-1228000,-581000,-801000
Acquisitions net,-,-,-,-35000
Purchases of investments,-,-1000,-1000,0
Sales/Maturities of investments,-,0,16000,24000
Other investing activites,-,-120000,-6000,6000
Net cash used for investing activites,-,-1030000,-535000,-811000
Net change in cash,-,2361000,-2608000,3450000
Cash at beginning of period,-,12440000,15049000,11599000
Cash at end of period,-,14802000,12440000,15049000
Operating Cash Flow,-,7170000,-3049000,4248000
Capital Expenditure,-,-1228000,-581000,-801000
Free Cash Flow,-,5942000,-3630000,3447000
