Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,54935083,55774125,55756135,56747103
Cost of Revenue,28693973,29220227,29134579,29538183
Gross Profit,26241110,26553898,26621555,27208919
Total Operating Expenses,22804120,22830042,22821482,22743595
Operating Income or Loss,3436990,3723856,3800073,4465325
Interest Expense,36979,41713,43032,45744
Income Before Tax,3225025,3443965,3541652,4205193
Income Tax Expense,1187030,1266200,1320606,1546531
Income from Continuing Operations,2037995,2177765,2221046,2658662
Net Income,2037994,2177764,2221045,2658662
Net Income available to common shareholders,2037994,2177764,2221045,2658662
Basic EPS,-,73.93,75.40,90.25
Diluted EPS,-,73.93,75.40,90.25
Basic Average Shares,-,29457,29457,29458
Diluted Average Shares,-,29457,29457,29458
