Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,259016,333224,323346,257835
Depreciation & amortization,-,95595,67315,44519
Change in working capital,-,-120664,-22705,-89521
Inventory,-,-691,-250,136
Other working capital,-,153397,258629,144374
Other non-cash items,-,32121,22473,14381
Net cash provided by operating activites,-,299496,393563,235932
Investments in property plant and equipment,-,-146099,-134934,-91558
Other investing activites,-,-19583,-4224,3053
Net cash used for investing activites,-,-165682,-139158,-88505
Net change in cash,-,138980,282583,89008
Cash at beginning of period,-,1256841,974258,885249
Cash at end of period,-,1395821,1256841,974258
Operating Cash Flow,-,299496,393563,235932
Capital Expenditure,-,-146099,-134934,-91558
Free Cash Flow,-,153397,258629,144374
