Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,10845000,9462000,8866000,8169000
Depreciation & amortization,-,2768000,2778000,2606000
Change in working capital,-,-3599000,-2841000,378000
Inventory,-,-1311000,-2774000,2592000
Other working capital,-,7587000,8233000,9847000
Other non-cash items,-,523000,288000,-119000
Net cash provided by operating activites,-,8737000,9602000,10743000
Investments in property plant and equipment,-,-1150000,-1369000,-896000
Acquisitions net,-,-49000,-,-106000
Purchases of investments,-,-847000,-1614000,-1237000
Sales/Maturities of investments,-,51000,510000,814000
Other investing activites,-,-1613000,2965000,1763000
Net cash used for investing activites,-,-3589000,561000,824000
Net change in cash,-,-47000,8149000,8139000
Cash at beginning of period,-,58872000,50553000,42414000
Cash at end of period,-,58825000,58872000,50553000
Operating Cash Flow,-,8737000,9602000,10743000
Capital Expenditure,-,-1150000,-1369000,-896000
Free Cash Flow,-,7587000,8233000,9847000
