Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1737183,1455687,1375060,1366453
Liabilities,,,,
Total Liabilities,1549603,1282822,1204307,1201348
Stockholders' Equity,,,,
Common Stock,18445,18587,18622,18622
Retained Earnings,146225,137892,131685,126181
Accumulated other comprehensive income,4115,-4075,-432.373,-576.687
Total stockholders' equity,187579,172865,170753,165105
Total liabilities and stockholders' equity,1737183,1455687,1375060,1366453
