Breakdown,ttm,12/31/2019,12/31/2018
Net Income,-459675,-459675,-854783
Depreciation & amortization,33442,33442,21128
Change in working capital,1017390,1017390,549239
Other working capital,844126,844126,-487089
Other non-cash items,276703,276703,-149684
Net cash provided by operating activites,870017,870017,-400529
Investments in property plant and equipment,-25891,-25891,-86560
Purchases of investments,-,-,-100000
Other investing activites,-25633,-25633,-151655
Net cash used for investing activites,-51524,-51524,-338215
Net change in cash,2698327,2698327,283998
Cash at beginning of period,4408530,4408530,4124532
Cash at end of period,7195414,7195414,4408530
Operating Cash Flow,870017,870017,-400529
Capital Expenditure,-25891,-25891,-86560
Free Cash Flow,844126,844126,-487089
