Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-993000,1094000,403914,790325
Depreciation & amortization,-,604000,610474,518944
Change in working capital,-,-3373000,63570,3409196
Inventory,-,-1477000,-1776815,2683771
Other working capital,-,-2635000,-200553,3867139
Other non-cash items,-,421000,190404,142979
Net cash provided by operating activites,-,-1505000,1598132,4354048
Investments in property plant and equipment,-,-1130000,-1798685,-486909
Acquisitions net,-,-,0,-
Purchases of investments,-,-361000,-18322,-327471
Sales/Maturities of investments,-,1490000,38198,35502
Other investing activites,-,-,-43601,-17930
Net cash used for investing activites,-,99000,-1808809,-1307724
Net change in cash,-,-27000,1251223,1548048
Cash at beginning of period,-,7926000,6703757,5155709
Cash at end of period,-,7898000,7926335,6703757
Operating Cash Flow,-,-1505000,1598132,4354048
Capital Expenditure,-,-1130000,-1798685,-486909
Free Cash Flow,-,-2635000,-200553,3867139
