Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,334663,280818,262052,247938
Depreciation & amortization,-,307758,299686,294067
Change in working capital,-,13821,2468,-1401
Inventory,-,564,2881,-1927
Other working capital,-,444795,135777,446971
Other non-cash items,-,97630,-72637,96265
Net cash provided by operating activites,-,738703,454918,709619
Investments in property plant and equipment,-,-293908,-319141,-262648
Purchases of investments,-,-202354,-81378,-157090
Sales/Maturities of investments,-,212048,18702,-
Other investing activites,-,29043,15849,42607
Net cash used for investing activites,-,-255171,-365968,-377131
Net change in cash,-,287197,-217621,137823
Cash at beginning of period,-,1812746,2030367,1892544
Cash at end of period,-,2099943,1812746,2030367
Operating Cash Flow,-,738703,454918,709619
Capital Expenditure,-,-293908,-319141,-262648
Free Cash Flow,-,444795,135777,446971
