Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,134000,134000,275000,58000,35000
Depreciation & amortization,28000,28000,40000,13000,14000
Stock based compensation,3000,3000,15000,16000,10000
Change in working capital,-79000,-79000,29000,141000,338000
Inventory,7000,7000,-31000,-6000,4000
Other working capital,144000,144000,262000,252000,372000
Net cash provided by operating activites,151000,151000,303000,295000,407000
Investments in property plant and equipment,-7000,-7000,-41000,-43000,-35000
Other investing activites,1000,1000,-,-,-
Net cash used for investing activites,-2000,-2000,-4000,-43000,-35000
Net change in cash,136000,136000,62000,168000,225000
Cash at beginning of period,924000,924000,863000,692000,467000
Cash at end of period,1060000,1060000,924000,863000,692000
Operating Cash Flow,151000,151000,303000,295000,407000
Capital Expenditure,-7000,-7000,-41000,-43000,-35000
Free Cash Flow,144000,144000,262000,252000,372000
