Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1992,-1794,-1732,-555.485,-202.922
Net cash used for investing activites,-1987,-1788,-1727,-554.452,-202.911
Debt repayment,-,-,-2.987,-71.664,-415.682
Common stock issued,-,1110,3638,726.052,533.24
Net cash used privided by (used for) financing activities,-,1110,3635,684.388,479.173
Net change in cash,-18.644,-1175,1407,-100.629,38.114
Cash at beginning of period,271.886,1624,216.786,279.415,241.301
Cash at end of period,253.242,448.919,1624,178.786,279.415
Capital Expenditure,-1992,-1794,-1732,-555.485,-202.922
Free Cash Flow,-3260,-2291,-2233,-786.05,-441.07
