Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Investments in property plant and equipment,-1196,-1196,-4272,-3155,-3130
Sales/Maturities of investments,108.276,108.276,-,441.057,50
Other investing activites,71.865,71.865,1.993,-,-
Net cash used for investing activites,-1013,-1013,-4160,-2704,-3072
Common stock issued,1,1,2322,2542,4172
Common stock repurchased,-2.292,-2.292,-64.167,-374.69,-56.452
Net cash used privided by (used for) financing activities,1249,1249,2258,2168,4115
Net change in cash,-1304,-1304,-3158,812.396,-186.256
Cash at beginning of period,1472,1472,4630,3818,4004
Cash at end of period,168.236,168.236,1472,4630,3818
Capital Expenditure,-1196,-1196,-4272,-3155,-3130
Free Cash Flow,-2735,-2735,-5529,-1805,-4359
