Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-140.691,-82.73,-29.025,-55.803,-
Acquisitions net,-,-15957,-22764,-,-
Purchases of investments,-,-,-2236,-,-
Other investing activites,-,1100,-600,5511,-
Net cash used for investing activites,-8977,-14938,-25629,5483,-
Debt repayment,-,-,-,-39.515,-
Common stock issued,67022,33530,74784,28,118
Common stock repurchased,-,-44.287,-3045,-149.935,-11.844
Other financing activites,-,-8791,-,-,-
Net cash used privided by (used for) financing activities,56374,24695,71739,-161.45,106.156
Net change in cash,19416,-15352,33336,3225,-158.202
Cash at beginning of period,19715,38643,5307,2082,179.621
Cash at end of period,39130,23291,38643,5307,21.419
Capital Expenditure,-140.691,-82.73,-29.025,-55.803,-
Free Cash Flow,-28122,-25191,-12804,-2152,-264.358
