Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,60401,60401,56366,52410,50514
Interest Expense,3757,3757,2146,2377,3271
Income Before Tax,17203,17203,16006,14215,11738
Income Tax Expense,3136,3136,2624,3947,2561
Income from Continuing Operations,14067,14067,13382,10268,9177
Net Income,14067,14067,13382,10268,9177
Net Income available to common shareholders,14067,14067,13382,10268,9177
Basic EPS,-,-,2.23,1.71,1.53
Diluted EPS,-,-,2.22,1.69,1.50
Basic Average Shares,-,-,6001,6005,6009
Diluted Average Shares,-,-,6028,6076,6118
