Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,30315000,30285000,29714000,28365000
Depreciation & amortization,-,4700000,4417000,4275000
Change in working capital,-,-4182000,-6686000,462000
Inventory,-,-2189000,-9287000,-560000
Other working capital,-,24709000,18172000,27644000
Other non-cash items,-,3270000,766000,172000
Net cash provided by operating activites,-,34943000,27697000,32847000
Investments in property plant and equipment,-,-10234000,-9525000,-5203000
Acquisitions net,-,-137000,-117000,-2672000
Purchases of investments,-,-,-,-18000
Sales/Maturities of investments,-,-,500000,11000
Other investing activites,-,-988000,-1736000,-1619000
Net cash used for investing activites,-,-9756000,-9877000,-4062000
Net change in cash,-,12961000,9693000,16587000
Cash at beginning of period,-,126782000,117089000,100501000
Cash at end of period,-,139743000,126782000,117089000
Operating Cash Flow,-,34943000,27697000,32847000
Capital Expenditure,-,-10234000,-9525000,-5203000
Free Cash Flow,-,24709000,18172000,27644000
