Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-16700,-16700,-10402,-6634,-8243
Acquisitions net,-400,-400,-,-7545,-7163
Purchases of investments,-,-,-,-1703,-1121
Other investing activites,-2200,-2200,-1105,5477,-
Net cash used for investing activites,-18700,-18700,-10119,-10405,-17966
Common stock issued,-,-,-,-,7983
Dividends Paid,-8000,-8000,-6073,-6450,-
Other financing activites,-3700,-3700,-,-,-
Net cash used privided by (used for) financing activities,-11700,-11700,-5860,25,7983
Net change in cash,-14900,-14900,11600,665,-4563
Cash at beginning of period,34400,34400,20954,21338,27300
Cash at end of period,19500,19500,34353,20954,21338
Capital Expenditure,-16700,-16700,-10402,-6634,-8243
Free Cash Flow,-1200,-1200,17177,4411,-2823
