Breakdown,12/31/2019,12/31/2018,9/30/2018,9/30/2017,9/30/2016
Total Assets,1531249,1287924,975409,940664,695865
Liabilities,,,,,
Total Liabilities,1380696,1149737,839562,867181,631321
Stockholders' Equity,,,,,
Common Stock,113,109,109,59,53
Retained Earnings,22517,15264,14003,10764,9107
Accumulated other comprehensive income,-471,-1841,-2706,-267,614
Total stockholders' equity,150553,138187,135847,73483,64544
Total liabilities and stockholders' equity,1531249,1287924,975409,940664,695865
