Breakdown,6/30/2019,8/31/2018
Total Assets,225713,300000
Liabilities,,
Total Liabilities,74172,0
Stockholders' Equity,,
Common Stock,154191,300000
Retained Earnings,-2650,-
Total stockholders' equity,151541,300000
Total liabilities and stockholders' equity,225713,300000
