Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,395462,231134,188355
Liabilities,,,
Total Liabilities,176906,139961,109941
Stockholders' Equity,,,
Common Stock,2,2,2
Retained Earnings,33856,275,6921
Accumulated other comprehensive income,4686,-563,2993
Total stockholders' equity,218556,91173,78414
Total liabilities and stockholders' equity,395462,231134,188355
