Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,27149,27149,41886,100379,11144
Depreciation & amortization,187123,187123,120316,59158,-
Stock based compensation,-,-,7450,-,-
Change in working capital,-12221,-12221,-34589,-60853,-
Other working capital,128965,128965,152097,-137287,71862
Other non-cash items,251943,251943,157011,89020,-
Net cash provided by operating activites,193619,193619,163255,74860,71862
Investments in property plant and equipment,-64654,-64654,-11158,-212147,-
Acquisitions net,-724989,-724989,-,-,-
Purchases of investments,-,-,0,-126298,-
Sales/Maturities of investments,44999,44999,-,-,-
Other investing activites,3392,3392,-443568,-,-
Net cash used for investing activites,-682073,-682073,-454726,-338445,-353034
Net change in cash,789082,789082,-155499,312699,-36504
Cash at beginning of period,195388,195388,350887,38188,82139
Cash at end of period,984470,984470,195388,350887,45635
Operating Cash Flow,193619,193619,163255,74860,71862
Capital Expenditure,-64654,-64654,-11158,-212147,-
Free Cash Flow,128965,128965,152097,-137287,71862
