Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,403495,615105,512768,532778
Depreciation & amortization,-,541769,460172,374530
Change in working capital,-,-291024,-329730,-109331
Inventory,-,-525713,-34003,-58102
Other working capital,-,-45182,-337291,12695
Other non-cash items,-,-16999,-4571,125997
Net cash provided by operating activites,-,986852,488156,880474
Investments in property plant and equipment,-,-1032034,-825447,-867779
Acquisitions net,-,-,-177562,-
Purchases of investments,-,-87483,-2461,-2460
Sales/Maturities of investments,-,146355,-,-
Other investing activites,-,-,55625,4874
Net cash used for investing activites,-,-973162,-949802,-864435
Net change in cash,-,33476,-545206,441903
Cash at beginning of period,-,634020,1179226,737322
Cash at end of period,-,667497,634020,1179226
Operating Cash Flow,-,986852,488156,880474
Capital Expenditure,-,-1032034,-825447,-867779
Free Cash Flow,-,-45182,-337291,12695
