Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-679.034,-13.837,-27.914,-56.768,-65.64
Acquisitions net,-,-7330,-800,-,-
Other investing activites,-,3.248,0.498,-18.961,-
Net cash used for investing activites,-8250,-6916,-814.689,-63.729,-49.599
Debt repayment,-,-,-,-27.933,-1092
Common stock issued,-,4248,1848,1370,1111
Common stock repurchased,-,-113.853,-109.615,-75.67,-5.115
Other financing activites,-,3824,-,-,-
Net cash used privided by (used for) financing activities,-,8158,1738,1267,13.604
Net change in cash,447.918,-384.713,-445.325,286.587,-1056
Cash at beginning of period,454.138,602.675,1048,761.413,1817
Cash at end of period,902.056,217.962,602.675,1048,761.413
Capital Expenditure,-679.034,-13.837,-27.914,-56.768,-65.64
Free Cash Flow,-3045,-1641,-1397,-973.216,-1085
