Breakdown,ttm,10/31/2018,10/31/2017,10/31/2016
Net Income,26644,11231,16181,14227
Change in working capital,17908,2650,28383,93
Other working capital,-4885,-14847,20827,-7828
Net cash provided by operating activites,-4885,-14847,20827,-7828
Purchases of investments,-119263,-168739,-61880,-45926
Sales/Maturities of investments,87162,107264,180,54119
Net cash used for investing activites,-32101,-61475,-52518,8193
Net change in cash,146480,107553,68855,73653
Cash at beginning of period,165968,65015,100644,26991
Cash at end of period,312448,172568,169499,100644
Operating Cash Flow,-4885,-14847,20827,-7828
Free Cash Flow,-4885,-14847,20827,-7828
