Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,170641,170641,176629,183469,176604
Interest Expense,117016,117016,89592,61478,53911
Income Before Tax,53331,53331,65485,66134,106019
Income Tax Expense,12052,12052,10395,25013,41103
Income from Continuing Operations,41279,41279,55090,41121,64916
Net Income,41279,41279,55090,41121,64916
Net Income available to common shareholders,41279,41279,55090,41121,64916
Basic EPS,-,-,1.92,1.41,2.24
Diluted EPS,-,-,1.92,1.41,2.24
Basic Average Shares,-,-,28709,29080,28957
Diluted Average Shares,-,-,28710,29082,28970
