Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-3061000,-3539000,317000,841169
Depreciation & amortization,-,3111000,3305000,2322920
Change in working capital,-,-1132000,-698000,-3049772
Inventory,-,-506000,-913000,-33307
Other working capital,-,-4074000,2634000,81719
Other non-cash items,-,-2533000,-214000,891946
Net cash provided by operating activites,-,-2869000,3756000,882342
Investments in property plant and equipment,-,-1205000,-1122000,-800623
Acquisitions net,-,-82000,-,1713971
Purchases of investments,-,-,-,-15549
Sales/Maturities of investments,-,42000,-,-
Other investing activites,-,1039000,-405000,-152699
Net cash used for investing activites,-,180000,-1588000,666108
Net change in cash,-,-2721000,1461000,2181747
Cash at beginning of period,-,4380000,2919000,737720
Cash at end of period,-,1659000,4380000,2919468
Operating Cash Flow,-,-2869000,3756000,882342
Capital Expenditure,-,-1205000,-1122000,-800623
Free Cash Flow,-,-4074000,2634000,81719
