Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,84968,105284,85795,32344
Liabilities,,,,
Total Liabilities,37631,55016,37412,0
Stockholders' Equity,,,,
Common Stock,47760,48912,48233,32431
Retained Earnings,-423,1356,150,-87.383
Total stockholders' equity,47337,50268,48383,32344
Total liabilities and stockholders' equity,84968,105284,85795,32344
