Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2200,-3226,-4917,-2453,-1391
Net cash used for investing activites,-2196,-3220,-4854,-2439,-1384
Debt repayment,-2451,-1474,-818,-4138,-5669
Common stock issued,-,-,17656,8970,-
Common stock repurchased,-,-,-1309,-708,-
Net cash used privided by (used for) financing activities,19130,757,16679,5689,2823
Net change in cash,8065,-11805,5010,-74,-915
Cash at beginning of period,1278,5534,524,598,1513
Cash at end of period,9343,-6271,5534,524,598
Capital Expenditure,-2200,-3226,-4917,-2453,-1391
Free Cash Flow,-11069,-12568,-11732,-5777,-3745
