Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,20296000,19356000,29104000,23558000
Depreciation & amortization,24378000,20304000,17896000,15400000
Change in working capital,398000,1922000,1895000,818000
Inventory,-1876000,-3201000,-1178000,-1513000
Other working capital,10374000,-12429000,-3119000,2429000
Other non-cash items,-2188000,-4839000,-975000,-2115000
Net cash provided by operating activites,50641000,40740000,44890000,33151000
Investments in property plant and equipment,-40267000,-53169000,-48009000,-30722000
Acquisitions net,-,-,-,-435000
Purchases of investments,-6281000,-19405000,-9349000,-18330000
Sales/Maturities of investments,7746000,18111000,10726000,20384000
Other investing activites,-7000,28000,-3855000,-2495000
Net cash used for investing activites,-37745000,-44544000,-47781000,-29814000
Net change in cash,7045000,7504000,-17203000,-21357000
Cash at beginning of period,50493000,49620000,67563000,88689000
Cash at end of period,55647000,57125000,49620000,67563000
Operating Cash Flow,50641000,40740000,44890000,33151000
Capital Expenditure,-40267000,-53169000,-48009000,-30722000
Free Cash Flow,10374000,-12429000,-3119000,2429000
