Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Net Income,-60877,-60877,-90690,-62557,42387
Other working capital,-43598,-43598,-65239,-139987,-19023
Net cash provided by operating activites,-,-,-,72177,135421
Investments in property plant and equipment,-76095,-76095,-122321,-212164,-154444
Acquisitions net,-,-,-,0,-3789
Purchases of investments,-,-,-,-3201,0
Sales/Maturities of investments,-,-,-,0,0
Other investing activites,4686,4686,284576,259328,0
Net cash used for investing activites,-71250,-71250,175267,44347,-134198
Debt repayment,-721161,-721161,-1146209,-1687010,-2539083
Common stock issued,-,-,-,0,0
Common stock repurchased,-30,-30,-19,-1700,-78
Dividends Paid,-14263,-14263,-11080,-25564,-14465
Other financing activites,-,-,-,-11477,-16038
Net cash used privided by (used for) financing activities,115409,115409,-226438,-114903,2917
Net change in cash,76656,76656,5911,1621,4140
Cash at beginning of period,16548,16548,10846,9072,4986
Cash at end of period,92332,92332,16548,10846,9072
Operating Cash Flow,-,-,-,72177,135421
Capital Expenditure,-76095,-76095,-122321,-212164,-154444
Free Cash Flow,-43598,-43598,-65239,-139987,-19023
