Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-217.256,-404.832,-902.884,-966.859
Sales/Maturities of investments,-,-,-,21.029
Other investing activites,-,-,1.905,-40.084
Net cash used for investing activites,807.267,-404.832,-900.979,-972.395
Debt repayment,-255.308,-327.78,-680.103,-1215
Common stock issued,-,-,-,7134
Common stock repurchased,-,-,-,-1080
Net cash used privided by (used for) financing activities,-554.351,-327.78,-680.103,4984
Net change in cash,-31.164,-830.002,-2859,3706
Cash at beginning of period,543.752,1356,4215,509.297
Cash at end of period,512.588,525.89,1356,4215
Capital Expenditure,-217.256,-404.832,-902.884,-966.859
Free Cash Flow,-501.336,-502.222,-2181,-1272
