Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2792000,2521000,2332000,2978000
Depreciation & amortization,-,1272000,1281000,1213000
Change in working capital,-,118543000,-108891000,101054000
Other working capital,-,117154000,-99438000,86423000
Other non-cash items,-,-1951000,8670000,801000
Net cash provided by operating activites,-,117615000,-98863000,87442000
Investments in property plant and equipment,-,-461000,-575000,-1019000
Purchases of investments,-,-171383000,-247694000,-274114000
Sales/Maturities of investments,-,180305000,191070000,273078000
Other investing activites,-,-1000,-,2000
Net cash used for investing activites,-,8840000,-56773000,-1690000
Net change in cash,-,120031000,-156243000,85171000
Cash at beginning of period,-,58725000,214968000,129797000
Cash at end of period,-,178756000,58725000,214968000
Operating Cash Flow,-,117615000,-98863000,87442000
Capital Expenditure,-,-461000,-575000,-1019000
Free Cash Flow,-,117154000,-99438000,86423000
