Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,78976,75175,71358,65243,53664
Interest Expense,2582,2559,1484,1137,1096
Income Before Tax,31900,29952,27909,23819,22099
Income Tax Expense,9050,8509,6620,9793,6917
Income from Continuing Operations,22850,21443,21289,14026,15182
Net Income,22850,21443,21289,14026,15182
Net Income available to common shareholders,22850,21443,21289,14026,15182
Basic EPS,-,-,1.55,1.12,1.34
Diluted EPS,-,-,1.54,1.10,1.33
Basic Average Shares,-,-,13700,12472,11331
Diluted Average Shares,-,-,13825,12722,11435
