Breakdown,ttm,12/31/2019,12/31/2018
Total Revenue,0,0,0
Research Development,48798,48798,14127
Selling General and Administrative,17005,17005,4682
Total Operating Expenses,65803,65803,18809
Operating Income or Loss,-65803,-65803,-18809
Interest Expense,0,0,471.078
Total Other Income/Expenses Net,-,-,-694.595
Income Before Tax,-63188,-63188,-19088
Income from Continuing Operations,-63188,-63188,-19088
Net Income,-63188,-63188,-19088
Net Income available to common shareholders,-63188,-63188,-19088
Basic EPS,-,-,-1.00
Diluted EPS,-,-,-1.00
Basic Average Shares,-,-,19044
Diluted Average Shares,-,-,19044
