Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,1012000,1012000,653000,414000,305000
Depreciation & amortization,957000,957000,676000,565000,473000
Change in working capital,238000,238000,266000,-230000,-379000
Inventory,-2000,-2000,-11000,3000,-7000
Other working capital,618000,618000,800000,-97000,264000
Other non-cash items,-9000,-9000,-39000,-13000,104000
Net cash provided by operating activites,2355000,2355000,1598000,726000,811000
Investments in property plant and equipment,-1737000,-1737000,-798000,-823000,-547000
Acquisitions net,-6000,-6000,-,-,-
Purchases of investments,-2000,-2000,-438000,-2000,-8000
Sales/Maturities of investments,436000,436000,-,-,14000
Other investing activites,-5000,-5000,-200000,2000,-18000
Net cash used for investing activites,-1314000,-1314000,-1436000,-823000,-559000
Net change in cash,611000,611000,-263000,-497000,-69000
Cash at beginning of period,1587000,1587000,1850000,2347000,2416000
Cash at end of period,2198000,2198000,1587000,1850000,2347000
Operating Cash Flow,2355000,2355000,1598000,726000,811000
Capital Expenditure,-1737000,-1737000,-798000,-823000,-547000
Free Cash Flow,618000,618000,800000,-97000,264000
