Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5769000,5058000,4490000,3136410
Depreciation & amortization,-,2361000,1942000,1739548
Change in working capital,-,4533000,-12817000,-4986503
Inventory,-,1629000,-5416000,-1449205
Other working capital,-,8706000,-9203000,-3202486
Other non-cash items,-,327000,727000,-138082
Net cash provided by operating activites,-,12058000,-5672000,-393123
Investments in property plant and equipment,-,-3352000,-3531000,-2809363
Purchases of investments,-,-1084000,-31000,-51840
Sales/Maturities of investments,-,-,0,174740
Other investing activites,-,-45000,5000,242347
Net cash used for investing activites,-,-4560000,-3505000,-2283851
Net change in cash,-,-313000,1171000,-525318
Cash at beginning of period,-,5557000,4072000,4597684
Cash at end of period,-,5244000,5557000,4072365
Operating Cash Flow,-,12058000,-5672000,-393123
Capital Expenditure,-,-3352000,-3531000,-2809363
Free Cash Flow,-,8706000,-9203000,-3202486
