Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,468824,428569,264338,199015
Liabilities,,,,
Total Liabilities,222949,209605,82046,73773
Stockholders' Equity,,,,
Common Stock,61323,124806,149160,87049
Retained Earnings,-32699,-24179,-10399,-5799
Accumulated other comprehensive income,132062,48580,43531,14499
Total stockholders' equity,160686,149207,182292,95749
Total liabilities and stockholders' equity,468824,428569,264338,199015
