Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,690000,1070000,900000,1117000
Depreciation & amortization,-,1761000,1692000,1789000
Change in working capital,-,207000,7000,-314000
Inventory,-,444000,-221000,-556000
Other working capital,-,2183000,1730000,1498000
Other non-cash items,-,239000,-12000,384000
Net cash provided by operating activites,-,3863000,3191000,3118000
Investments in property plant and equipment,-,-1680000,-1461000,-1620000
Other investing activites,-,-188000,48000,-5000
Net cash used for investing activites,-,-1853000,-1392000,-1937000
Net change in cash,-,1298000,872000,158000
Cash at beginning of period,-,7426000,6554000,6364000
Cash at end of period,-,8724000,7426000,6554000
Operating Cash Flow,-,3863000,3191000,3118000
Capital Expenditure,-,-1680000,-1461000,-1620000
Free Cash Flow,-,2183000,1730000,1498000
