Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,34836,34836,35029,35045,34384
Interest Expense,9722,9722,4459,3343,3098
Income Before Tax,7256,7256,7501,7774,8348
Income Tax Expense,1354,1354,827.73,4071,1612
Income from Continuing Operations,5902,5902,6673,3704,6737
Net Income,5902,5902,6673,3704,6737
Net Income available to common shareholders,5902,5902,6673,3704,6737
Basic EPS,-,-,1.36,0.76,1.38
Diluted EPS,-,-,1.36,0.76,1.38
Basic Average Shares,-,-,4889,4879,4866
Diluted Average Shares,-,-,4899,4896,4876
