Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-22814,-12817,-22698,-8401
Acquisitions net,-,41,-3754,-63346
Net cash used for investing activites,-23022,-3324,-22508,-71407
Common stock issued,-,7100,29656,13374
Dividends Paid,-15013,-15214,-11417,-8595
Net cash used privided by (used for) financing activities,6722,8802,60081,106851
Net change in cash,-9501,-9287,-43912,21885
Cash at beginning of period,24085,25145,69069,13810
Cash at end of period,14584,15866,25145,69069
Capital Expenditure,-22814,-12817,-22698,-8401
Free Cash Flow,-16015,-27582,-104183,-21960
