Breakdown,ttm,2/28/2019,2/28/2018
Net Income,232349,232349,131734
Depreciation & amortization,2935,2935,3328
Change in working capital,-94272,-94272,-34610
Other working capital,203448,203448,61626
Other non-cash items,6105,6105,16049
Net cash provided by operating activites,203448,203448,61626
Purchases of investments,-2501,-2501,-
Other investing activites,-589,-589,350
Net cash used for investing activites,-1040,-1040,749
Net change in cash,232589,232589,62266
Cash at beginning of period,281079,281079,189494
Cash at end of period,513669,513669,281079
Operating Cash Flow,203448,203448,61626
Free Cash Flow,203448,203448,61626
